genre_id,genres
tt1727434,"scifi, action, comedy, fantasy, horror"
tt2187850,"crime, drama, thriller, history"
tt2425098,"scifi, action, animation, comedy, fantasy"
tt2644032,"family, animation, comedy"
tt2348803,"comedy, animation, sport"
tt1161864,"drama, thriller, horror"
tt1441951,"drama, comedy, romance, music"
tt1430607,"drama, animation, family, comedy, fantasy"
tt2246779,"comedy, documentation"
tt1847521,"scifi, animation, action"
tt1411704,"animation, comedy, family, fantasy"
tt1486185,"fantasy, thriller, horror, drama, romance"
tt2245195,"music, comedy, scifi"
tt1268799,"comedy, fantasy, romance"
tt0765446,"scifi, comedy, family, animation"
tt1704637,"drama, crime, action, thriller"
tt2375379,"action, animation, fantasy"
tt2061527,"scifi, action, animation, comedy, crime"
tt1682181,"drama, documentation"
tt2379987,"drama, family, fantasy"
tt2215489,comedy
tt6357282,drama
tt5315490,"action, comedy, scifi, family, fantasy, animation"
tt1948150,"drama, action, crime"
tt2558816,"comedy, drama"
tt4763642,"animation, comedy, family, fantasy"
tt2358911,"action, drama, fantasy, animation, horror"
tt1562872,"romance, drama, comedy"
tt4049416,"animation, european"
tt2730046,documentation
tt10051854,"family, music, animation"
tt5632186,"reality, documentation"
tt1083448,"family, romance, comedy, drama"
tt1211890,drama
tt2345525,"comedy, documentation"
tt4168604,"animation, european"
tt8358972,reality
tt1934231,"comedy, action, crime, thriller"
tt1860355,"documentation, sport"
tt2082197,"drama, romance, comedy"
tt1975249,"thriller, action, crime, drama"
tt1629376,"thriller, comedy, drama"
tt1999167,"action, comedy, horror, thriller, animation, fantasy"
tt2546038,comedy
tt0280153,documentation
tt1776143,"romance, comedy"
tt2273321,comedy
tt2150139,"drama, family, sport"
tt2163203,"comedy, music, family"
tt1620933,"drama, crime, sport, thriller, action"
tt1916728,"drama, crime"
tt2395219,"comedy, family"
tt1285241,"action, thriller, crime, european"
tt1926313,"romance, drama, comedy, european"
tt2488050,drama
tt1841542,"comedy, drama, family"
tt1787988,"crime, thriller, drama, fantasy"
tt2443734,drama
tt1869721,"thriller, drama, romance, comedy"
tt2404173,"action, animation, drama"
tt1753866,drama
tt1734110,"drama, thriller, crime"
tt1870073,"action, animation, comedy, family"
tt2122340,"family, comedy, drama, sport"
tt2507174,"scifi, animation, action"
tt2344781,comedy
tt6298258,"comedy, animation"
tt1954206,"drama, comedy"
tt3264864,reality
tt1859607,comedy
tt2077833,"action, comedy, crime"
tt2283748,"drama, fantasy, comedy"
tt1703958,"drama, romance, comedy"
tt1934335,"drama, romance"
tt2367996,"drama, action"
tt1772872,"thriller, action, crime, drama, european"
tt1729637,"drama, action, romance, comedy"
tt1899240,"comedy, drama"
tt2027138,"drama, comedy"
tt2058636,"comedy, documentation"
tt1784589,"thriller, action, crime"
tt2255934,"romance, comedy"
tt4381290,"comedy, drama, romance"
tt2130242,"drama, comedy, romance"
tt1890513,"drama, horror, thriller"
tt2272555,"drama, history, romance"
tt2345561,"thriller, action"
tt2551894,"drama, thriller, crime"
tt1754202,"drama, thriller"
tt2051818,"romance, comedy"
tt1949548,drama
tt2084872,"comedy, documentation"
tt2461736,comedy
tt2262126,comedy
tt16235600,"animation, action, fantasy"
tt6442774,animation
tt2473936,"comedy, drama, romance"
tt2094761,"scifi, animation, family, fantasy"
tt1869296,"thriller, action, comedy, crime"
tt2186933,comedy
tt2244376,drama
tt2246595,"thriller, drama, crime, action"
tt1836912,"drama, thriller, action, crime"
tt2186731,"action, thriller, crime"
tt3840498,"animation, family"
tt1826603,drama
tt7131686,drama
tt2271641,"action, thriller"
tt6356352,animation
tt1979169,drama
tt6543194,animation
tt2407826,comedy
tt6417816,animation
tt6052432,drama
tt2336284,"crime, action, comedy"
tt2229301,comedy
tt2389344,"romance, drama"
tt6543070,animation
