revenue_id,budget,imdb_id,revenue,profit
259,80000000.0,tt0116040,159212469.0,79212469.0
260,30000000.0,tt0116365,29359216.0,-640784.0
261,5000000.0,tt0116905,13269963.0,8269963.0
262,32000000.0,tt0117333,152036382.0,120036382.0
263,3500000.0,tt0117628,9482579.0,5982579.0
264,40000000.0,tt0117913,152266007.0,112266007.0
265,25000000.0,tt0116320,17193231.0,-7806769.0
266,13000000.0,tt0116707,4619014.0,-8380986.0
267,26000000.0,tt0116313,116400000.0,90400000.0
268,80000000.0,tt0117438,309492681.0,229492681.0
269,50000000.0,tt0115857,60209334.0,10209334.0
270,36000000.0,tt0117008,33459416.0,-2540584.0
271,6000000.0,tt0116191,22231658.0,16231658.0
272,13000000.0,tt0115986,17917287.0,4917287.0
273,15000000.0,tt0117826,5600000.0,-9400000.0
274,6000000.0,tt0117718,12643776.0,6643776.0
275,50000000.0,tt0116225,42277365.0,-7722635.0
276,2962051.0,tt0115632,3011195.0,49144.0
277,45000000.0,tt0117918,53854588.0,8854588.0
278,200000.0,tt0104109,300000.0,100000.0
279,6000000.0,tt0068646,245066411.0,239066411.0
280,900000.0,tt0104558,20483423.0,19583423.0
281,500000.0,tt0116985,431326.0,-68674.0
282,4500000.0,tt0115736,7011317.0,2511317.0
283,60000000.0,tt0120004,33956608.0,-26043392.0
284,40000000.0,tt0116654,49627779.0,9627779.0
285,25000000.0,tt0115783,22611954.0,-2388046.0
286,5000000.0,tt0113253,15116634.0,10116634.0
287,2540800.0,tt0045152,7200000.0,4659200.0
288,2723903.0,tt0043278,4500000.0,1776097.0
289,2500000.0,tt0054698,9500000.0,7000000.0
290,2479000.0,tt0052357,28000000.0,25521000.0
291,1000000.0,tt0047396,36764313.0,35764313.0
292,325000.0,tt0025316,4500000.0,4175000.0
293,4000000.0,tt0053125,13275000.0,9275000.0
294,3000000.0,tt0053604,25000000.0,22000000.0
295,2883848.0,tt0053291,25000000.0,22116152.0
296,4000000.0,tt0056923,13474588.0,9474588.0
297,878000.0,tt0034583,10462500.0,9584500.0
298,375000.0,tt0033870,1000000.0,625000.0
299,17000000.0,tt0058385,72070731.0,55070731.0
300,2238813.0,tt0047437,10000000.0,7761187.0
301,1500000.0,tt0046250,12000000.0,10500000.0
302,2777000.0,tt0032138,33754967.0,30977967.0
303,4000000.0,tt0031381,400176459.0,396176459.0
304,1752000.0,tt0043014,5000000.0,3248000.0
305,839727.0,tt0033467,23217674.0,22377947.0
306,10500000.0,tt0062622,68700000.0,58200000.0
307,1400000.0,tt0042192,63463.0,-1336537.0
308,1688000.0,tt0032143,2270000.0,582000.0
309,1288000.0,tt0032976,6000000.0,4712000.0
310,2000000.0,tt0038787,24464742.0,22464742.0
311,1500000.0,tt0038109,7000000.0,5500000.0
312,2500000.0,tt0048728,8750000.0,6250000.0
313,1365000.0,tt0031725,2279000.0,914000.0
314,2033000.0,tt0029843,3981000.0,1948000.0
315,1020000.0,tt0037008,2000000.0,980000.0
316,609000.0,tt0027125,3202000.0,2593000.0
317,5400000.0,tt0049261,35000000.0,29600000.0
318,1.0,tt0048028,5.0,4.0
319,226408.0,tt0025878,1423000.0,1196592.0
320,6000000.0,tt0048960,42000000.0,36000000.0
